"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Body.Type  ",90,552452796798122,6138364408868.03,4.50611259825989,2.7331729457653e-27
"Residuals  ",475,647059528725107,1362230586789.7,NA,NA
